codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
1002,USC (Campus Santiago),Enfermaría Piscina Universitaria,SANTIAGO,A CORUÑA,42.8780,-8.5552,En centros docentes
1003,Aeropuerto de Vigo,Aeroporto de Vigo,VIGO,PONTEVEDRA,42.2257,-8.6328,En aeropuertos o estaciones
1007,Protección Civil Avión GES,Protección Civil Avión,AVION,OURENSE,42.3752,-8.2529,Protección civil (no amb.)
1010,Deputación Provincial da Coruña,Teatro Colón,"CORUÑA, A",A CORUÑA,43.3702,-8.3986,Otros
1012,"Showa Denko Carbón Spain, SA",Showa Denko Carbón Spain (junto al servicio médico),"CORUÑA, A",A CORUÑA,43.3450,-8.4335,En empresa privada
1020,PC Concello A Coruña,Praia Lapas,"CORUÑA, A",A CORUÑA,43.3836,-8.4062,Protección civil (no amb.)
1021,PC Concello A Coruña,Praia Riazor,"CORUÑA, A",A CORUÑA,43.3685,-8.4117,Protección civil (no amb.)
1022,PC Concello A Coruña,Praia Orzán,"CORUÑA, A",A CORUÑA,43.3724,-8.4040,Protección civil (no amb.)
1025,PC Concello A Coruña,Praia de Oza,"CORUÑA, A",A CORUÑA,43.3471,-8.3832,Protección civil (no amb.)
1026,PC Concello A Coruña,Praia de San Amaro,"CORUÑA, A",A CORUÑA,43.3817,-8.3971,Protección civil (no amb.)
1030,Protección Civil de Redondela,Protección Civil - Playa de Area Longa,REDONDELA,PONTEVEDRA,42.2644,-8.6768,Protección civil (no amb.)
1031,Aeropuerto de A Coruña,Aeropuerto,CULLEREDO,A CORUÑA,43.3023,-8.3820,En aeropuertos o estaciones
1032,Concello de Lugo,Parque de Bomberos,LUGO,LUGO,43.0326,-7.5726,Otros
1033,Piscina Municipal de Villagarcía,Piscina Municipal,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5840,-8.7749,En piscina pública
1034,Protección Civil de Redondela,Playa de Cesantes,REDONDELA,PONTEVEDRA,42.3097,-8.6233,Protección civil (no amb.)
1036,Ayuntamiento de Lugo,Policía Local,LUGO,LUGO,42.9995,-7.5429,Otros
1039,"FORESA, INDUSTRIAS QUÍMICAS DEL NOROESTE, S.L.",Foresa,CALDAS DE REIS,PONTEVEDRA,42.5983,-8.6488,En empresa privada
1042,Pavillón Municipal de Deportes de Pontevedra,Pavillón Municipal de Deportes de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4366,-8.6415,En instalaciones deportivas
1043,Concello de Pontevedra,Pavillón Multiusos da Xunqueira de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4383,-8.6369,En instalaciones deportivas
1044,Campo de herba sintética Xunqueira 1 (Pontevedra),Campo de herba sintética Xunqueira 1 (Pontevedra),PONTEVEDRA,PONTEVEDRA,42.4395,-8.6354,En instalaciones deportivas
1048,Concello de A Coruña,Campo de Fútbol Ciudad Deportiva La Torre (control seguridad vestuarios centrales),"CORUÑA, A",A CORUÑA,43.3833,-8.4035,En instalaciones deportivas
1049,Concello de A Coruña,Policía Municipal - Edificio,"CORUÑA, A",A CORUÑA,43.3762,-8.3965,Otros
1053,Concello de A Coruña,Acuario Finisterrae,"CORUÑA, A",A CORUÑA,43.3839,-8.4097,Otros
1055,Concello de Burela,Pabellón Polideportivo,BURELA,LUGO,43.6507,-7.3560,En instalaciones deportivas
1056,Concello de Burela,Casa da Cultura,BURELA,LUGO,43.6606,-7.3632,Otros
1057,Concello de Burela,Casa do Concello,BURELA,LUGO,43.6591,-7.3579,Otros
1064,Piscina Municipal de Rianxo,Piscina municipal (hall de entrada),RIANXO,A CORUÑA,42.6520,-8.8173,En piscina pública
1065,Concello de A Coruña,Piscina Cubierta Riazor (1ª planta - control botiquín),"CORUÑA, A",A CORUÑA,43.3685,-8.4177,En piscina pública
1066,Concello de Narón,Casa do Concello,NARON,A CORUÑA,43.5009,-8.1923,Otros
1067,Concello de Narón,Pazo da Cultura,NARON,A CORUÑA,43.4966,-8.1953,Otros
1068,Concello de Narón,Polideportivo A Gándara,NARON,A CORUÑA,43.4918,-8.1969,En instalaciones deportivas
1070,Concello de Narón,Polideportivo As Lagoas,NARON,A CORUÑA,43.5142,-8.1867,En instalaciones deportivas
1071,Concello de Narón,Polideportivo Santa Icía,NARON,A CORUÑA,43.4993,-8.1997,En instalaciones deportivas
1074,Centro Deportivo Municipal San Diego,Centro Deportivo Municipal San Diego,"CORUÑA, A",A CORUÑA,43.3540,-8.3898,En instalaciones deportivas
1075,Complexo Deportivo Rías do Sur,Complexo Deportivo Rías do Sur,PONTEVEDRA,PONTEVEDRA,42.4198,-8.6609,En instalaciones deportivas
1080,UTE Langosteira,Nuevas Instalaciones Portuarias en Punta Langosteira,ARTEIXO,A CORUÑA,43.3586,-8.4903,En empresa privada
1081,FINSA San Cibrao das Viñas,FINSA San Cibrao das Viñas,SAN CIBRAO DAS VIÑAS,OURENSE,42.2895,-7.8222,En empresa privada
1082,Concello de Monforte de Lemos,Pavillón Municipal da Pinguela,MONFORTE,LUGO,42.5105,-7.5252,En instalaciones deportivas
1083,Club del Mar de San Amaro,Club del Mar de San Amaro (piscinas exteriores - caseta socorrismo),"CORUÑA, A",A CORUÑA,43.3812,-8.3972,Otros
1085,"Xestión de Actividades Deportivas e Espectáculos, S.L.",Multiusos Santa Isabel,SANTIAGO,A CORUÑA,42.8764,-8.5303,En empresa privada
1086,Xestión de Actividades Deportivas e Espectáculos S.L.,Multiusos do Sar - recepción,SANTIAGO,A CORUÑA,42.8764,-8.5303,En empresa privada
1087,"Xestión de Actividades Deportivas e Espectáculos, S.L.",Piscina Multiusos Sar,SANTIAGO,A CORUÑA,42.8764,-8.5303,En piscina pública
1088,Concello de Monforte,Campo Municipal de Fútbol Luis Bodegas,MONFORTE,LUGO,42.5044,-7.5397,En instalaciones deportivas
1092,"Aena SME, S.A.",Aeroporto da Coruña (AENA) Zona de embarque,CULLEREDO,A CORUÑA,43.3024,-8.3822,En aeropuertos o estaciones
1093,"Aena SME, S.A.",Aeroporto da Coruña (AENA) 02,CULLEREDO,A CORUÑA,43.3023,-8.3820,En aeropuertos o estaciones
1097,Deputación da Coruña,Palacio Provincial Planta Baja Seguridad,"CORUÑA, A",A CORUÑA,43.3686,-8.4001,Otros
1098,Deputación da Coruña,Biblioteca Deputación Provincial,"CORUÑA, A",A CORUÑA,43.3704,-8.3983,Otros
1100,Deputación da Coruña,Dolmen Dombate,CABANA,A CORUÑA,43.1900,-8.9693,Otros
1101,Balneario de Mondariz,Balneario de Mondariz,MONDARIZ - BALNEARIO,PONTEVEDRA,42.2272,-8.4658,Otros
1102,Cruz Roja Española,Cruz Roja Ferrol,FERROL,A CORUÑA,43.4868,-8.2329,Cruz roja (no amb.)
1103,Aeroporto de Santiago,Embarque Planta P10,SANTIAGO,A CORUÑA,42.8924,-8.4211,En aeropuertos o estaciones
1106,Lonza Biologics Porriño S.L.,Lonza Biologics Porriño S.L.,"PORRIÑO, O",PONTEVEDRA,42.1578,-8.6337,En empresa privada
1108,Hotel Punta del Este,Hotel Punta del Este,CARBALLO,A CORUÑA,43.2224,-8.7066,En empresa privada
1110,Centro Comercial Odeón,Centro Comercial Odeón,NARON,A CORUÑA,43.4898,-8.2040,En empresa privada
1114,Concello de Vigo,Pabellón Municipal As Travesas,VIGO,PONTEVEDRA,42.2191,-8.7321,En instalaciones deportivas
1115,Patronato Municipal de Deportes,Campo de Fútbol As Eiroas,CARBALLO,A CORUÑA,43.2352,-8.6866,En instalaciones deportivas
1116,Patronato Municipal de Deportes,Piscina Carballo Calero,CARBALLO,A CORUÑA,43.2175,-8.6970,En piscina pública
1117,Patronato Municipal de Deportes,Polideportivo Vila de Noia,CARBALLO,A CORUÑA,43.2171,-8.6838,En instalaciones deportivas
1120,Gestamp Vigo,Gestamp Vigo,"PORRIÑO, O",PONTEVEDRA,42.1287,-8.6272,En empresa privada
1126,Concello de  Narón,Campo de Fútbol S.D. O Val,NARON,A CORUÑA,43.5534,-8.2039,En instalaciones deportivas
1127,LIDL Narón (Zona Almacén),LIDL Narón (Zona Almacén),NARON,A CORUÑA,43.5367,-8.1999,En empresa privada
1128,LIDL Narón (Zona oficinas),LIDL Narón (Zona oficinas),NARON,A CORUÑA,43.5367,-8.1999,En empresa privada
1129,Consello Municipal de Deportes de Ourense,Pavillón Municipal de Deportes de Ourense,OURENSE,OURENSE,42.3435,-7.8704,En instalaciones deportivas
1131,Club Fluvial de Lugo,Club Fluvial de Lugo 01,LUGO,LUGO,43.0006,-7.5695,Otros
1134,"Begano, S.A.",BEGANO,"CORUÑA, A",A CORUÑA,43.3299,-8.4001,En empresa privada
1135,Lear Corporation Vigo,Lear Corporation Vigo,VIGO,PONTEVEDRA,42.1761,-8.7113,En empresa privada
1136,MCSYNCRO,Mcsyncro,VIGO,PONTEVEDRA,42.2284,-8.7550,En empresa privada
1137,FORESTAL DEL ATLÁNTICO,Forestal Atlántico - oficinas,MUGARDOS,A CORUÑA,43.4590,-8.2345,En empresa privada
1138,FORESTAL DEL ATLÁNTICO,FORESTAL ATLÁNTICO - OFICINAS ARRIBA,MUGARDOS,A CORUÑA,43.4590,-8.2345,En empresa privada
1139,Centro Galego de Tecnificación Deportiva,Entrada Principal,PONTEVEDRA,PONTEVEDRA,42.4321,-8.6381,Otros
1140,Centro Galego de Tecnificación Deportiva,Pabellón de remo,PONTEVEDRA,PONTEVEDRA,42.4322,-8.6379,En instalaciones deportivas
1141,PC O Grove,Puesto de PC playa de A Lazanda,SANXENXO,PONTEVEDRA,42.4386,-8.8713,Protección civil (no amb.)
1144,Agrupación de Voluntarios de Protección Civil de Barbadás,Protección Civil Barbadás,BARBADAS,OURENSE,42.3110,-7.8860,Protección civil (no amb.)
1146,Farmacia Herreros,Farmacia Herreros,PONTEVEDRA,PONTEVEDRA,42.4322,-8.6452,En empresa privada
1149,Cruz Roja Pontevedra,Praia Fortiñón,VIGO,PONTEVEDRA,42.1758,-8.8136,Cruz roja (no amb.)
1150,IES Foz,IES de Foz,FOZ,LUGO,43.5652,-7.2680,En centros docentes
1151,Corporación Alimentaria Peñasanta (CAPSA),"Almacen bloque 3, Oficinas",OUTEIRO DE REI,LUGO,43.0839,-7.6071,En empresa privada
1156,"Lear Corporation Pontevedra, S.A.","Lear Corporation Pontevedra, S.A.","PORRIÑO, O",PONTEVEDRA,42.1136,-8.6263,En empresa privada
1158,"Vestas Manufacturing Spain, SLU","Vestas Nacelles Spain SAU (FÁBRICA  PLANTA BAJA, SALA 1º AUXILIOS)",VIVEIRO,LUGO,43.6124,-7.5883,En empresa privada
1163,Concello de Tui,Centro Interfederado,TUI,PONTEVEDRA,42.0398,-8.6455,Otros
1164,Concello de Tui,Campo de fútbol Álvarez Durán,TUI,PONTEVEDRA,42.0568,-8.6693,En instalaciones deportivas
1168,"Pull & Bear España, SA",Pasillo altura zona comercial,NARON,A CORUÑA,43.4899,-8.2030,En empresa privada
1170,"Pull & Bear España, SA",Entrada principal zona cajeros,NARON,A CORUÑA,43.4899,-8.2030,En empresa privada
1174,Protección Civil de Laxe,Praia de Laxe,LAXE,A CORUÑA,43.2178,-9.0023,Protección civil (no amb.)
1175,Protección Civil de Laxe,Base Protección Civil de Laxe,LAXE,A CORUÑA,43.2176,-9.0039,Protección civil (no amb.)
1176,Protección Civil de Laxe,Polideportivo Municipal de Laxe,LAXE,A CORUÑA,43.2133,-8.9945,Protección civil (no amb.)
1177,Fundación Pública Urxencias Sanitarias de Galicia-061,C.I.A.E Galicia (sala de coordinación del 061),"ESTRADA, A",PONTEVEDRA,42.6926,-8.5096,Otros
1178,Gimnasio Bitacora,Gimnasio Bitacora,FERROL,A CORUÑA,43.4887,-8.2206,En instalaciones deportivas
1180,Rectorado da Universidade da Coruña,Estadio de Atletismo Campus Elviña,"CORUÑA, A",A CORUÑA,43.3338,-8.4125,En instalaciones deportivas
1181,Rectorado da Universidade da Coruña,Pavillón Deportes Campus Elviña,"CORUÑA, A",A CORUÑA,43.3350,-8.4144,En instalaciones deportivas
1182,Cruz Roja Lugo,Centro de Parálisis Cerebral de Castro Riberas de Lea,CASTRO DE REI,LUGO,43.1567,-7.4865,Cruz roja (no amb.)
1186,Protección Civil Arteixo,Praia de Valcovo,ARTEIXO,A CORUÑA,43.3153,-8.5334,Protección civil (no amb.)
1187,Protección Civil Arteixo,Praia de Barrañán,ARTEIXO,A CORUÑA,43.3115,-8.5509,Protección civil (no amb.)
1188,Protección Civil Arteixo,Praia de Sabón,ARTEIXO,A CORUÑA,43.3306,-8.5066,Protección civil (no amb.)
1192,Exclusivas Seec S.L.,Oficinas Exclusivas Seec S.L.,"CORUÑA, A",A CORUÑA,43.3638,-8.4091,En empresa privada
1193,Concello de Camariñas,"Campo de fútbol ""Hermanas Patiño""",CAMARIÑAS,A CORUÑA,43.1340,-9.2004,En instalaciones deportivas
1194,Concello de Camariñas,Pavillón Municipal,CAMARIÑAS,A CORUÑA,43.1334,-9.1830,En instalaciones deportivas
1195,Concello do Porriño,Polideportivo,"PORRIÑO, O",PONTEVEDRA,42.1589,-8.6141,En instalaciones deportivas
1197,Concello de Mos,Campo de fútbol Cototorrón,MOS,PONTEVEDRA,42.1920,-8.6447,En instalaciones deportivas
1198,Concello de Mos,Campo de Fútbol de As Baloutas,MOS,PONTEVEDRA,42.1890,-8.6215,En instalaciones deportivas
1199,Concello de Arbo,Campo de Fútbol Municipal,ARBO,PONTEVEDRA,42.1074,-8.3024,En instalaciones deportivas
1200,Concello de Tui,Campo de Fútbol de Ribadelouro,TUI,PONTEVEDRA,42.0936,-8.6499,En instalaciones deportivas
1208,Concello de Valga,Polideportivo Baño - Xanzo,VALGA,PONTEVEDRA,42.7052,-8.6533,En instalaciones deportivas
1209,Concello de Valga,Campo de Fútbol Baño,VALGA,PONTEVEDRA,42.7055,-8.6552,En instalaciones deportivas
1210,Concello de Valga,Auditorio Municipal de Valga,VALGA,PONTEVEDRA,42.6986,-8.6855,Protección civil (no amb.)
1212,Concello de Sanxenxo,Piscina Municipal,SANXENXO,PONTEVEDRA,42.3994,-8.8234,En piscina pública
1214,Concello de Pontecaldelas,Campo de Fútbol Chan da Barcia,PONTE-CALDELAS,PONTEVEDRA,42.3885,-8.4999,En instalaciones deportivas
1215,Concello de Barro,Campos de Fútbol do concello,BARRO,PONTEVEDRA,42.5481,-8.6286,En instalaciones deportivas
1216,Concello de Vilaboa,Campo de Fútbol Chan do Vilar,VILABOA,PONTEVEDRA,42.3809,-8.6399,En instalaciones deportivas
1217,Concello de Vilaboa,Campo de Fútbol O Cabalo,VILABOA,PONTEVEDRA,42.3301,-8.6431,En instalaciones deportivas
1218,Concello de Vilaboa,Campo de Fútbol San Adrián,VILABOA,PONTEVEDRA,42.3072,-8.6612,En instalaciones deportivas
1226,Complexo Acuático do Castro,Complexo Acuático do Castro,MUGARDOS,A CORUÑA,43.4463,-8.2250,Otros
1227,Concello de Marin,Pabellón da Raña (San Pedro s/n),MARIN,PONTEVEDRA,42.3841,-8.6973,En instalaciones deportivas
1228,Concello de Marin,Estadio Municipal de San Pedro,MARIN,PONTEVEDRA,42.3829,-8.6967,En instalaciones deportivas
1229,Concello de Marin,Pabellón de A Cañota,MARIN,PONTEVEDRA,42.3922,-8.6931,En instalaciones deportivas
1231,Concello de Lalín,Pabellón Municipal de Deportes (acceso a vestuarios),LALIN,PONTEVEDRA,42.6641,-8.1080,En instalaciones deportivas
1232,Concello de Lalín,Complexo deportivo Lalín Arena (junto a sala de ejercicios),LALIN,PONTEVEDRA,42.6598,-8.1176,En piscina pública
1233,Concello de Lalín,Estadio Manuel Anxo Cortizo (entrada de vestuarios),LALIN,PONTEVEDRA,42.6500,-8.1251,En instalaciones deportivas
1234,Deputación de Pontevedra,Museo de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4322,-8.6432,Otros
1235,Deputación de Pontevedra,Pabellón Deportivo Príncipe Felipe,PONTEVEDRA,PONTEVEDRA,42.4262,-8.6145,En instalaciones deportivas
1236,Deputación de Pontevedra,ORAL Dept. Provincial Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4274,-8.6518,Otros
1240,IES Daviña Rey,IES Franciso Daviña Rey,MONFORTE,LUGO,42.5251,-7.5120,En centros docentes
1242,Concello de Arteixo,Campo de Fútbol de Meicende,ARTEIXO,A CORUÑA,43.3477,-8.4491,En instalaciones deportivas
1243,Concello de Arteixo,Pazo dos Deportes,ARTEIXO,A CORUÑA,43.3083,-8.5081,Otros
1244,Concello de Arteixo,Campo de Fútbol de Hierba Artificial,ARTEIXO,A CORUÑA,43.3114,-8.5089,En instalaciones deportivas
1245,Concello das Pontes,Pavillón Polideportivo Municipal,"PONTES, AS",A CORUÑA,43.4499,-7.8440,En instalaciones deportivas
1246,Concello das Pontes,Piscina Municipal Climatizada,"PONTES, AS",A CORUÑA,43.4502,-7.8568,En piscina pública
1247,MetalShips&Docks,Portería MetalShips&Docks,VIGO,PONTEVEDRA,42.2570,-8.6895,En empresa privada
1249,Protección Civil Ferrol,Pabellón Polideportivo de Esteiro,FERROL,A CORUÑA,43.4827,-8.2248,Protección civil (no amb.)
1250,Protección Civil Ferrol,Pabellón de Caranza,FERROL,A CORUÑA,43.4811,-8.2006,Protección civil (no amb.)
1252,Protección Civil Ferrol,Estación de Autobuses de Ferrol,FERROL,A CORUÑA,43.4883,-8.2291,Protección civil (no amb.)
1254,Sociedade Liceo,Sociedad Liceo,NOIA,A CORUÑA,42.7861,-8.8877,Otros
1256,USC (Campus Santiago),Entrada Biblioteca Concepción Arenal,SANTIAGO,A CORUÑA,42.8752,-8.5532,En centros docentes
1257,USC (Campus Santiago),Vestibulo da Conserxería do CACTUS,SANTIAGO,A CORUÑA,42.8750,-8.5594,En centros docentes
1258,USC (Campus Santiago),Casa da Balconada. vestíbulo da Conserxería,SANTIAGO,A CORUÑA,42.8794,-8.5433,En centros docentes
1259,USC (Campus Santiago),Pavillón Deportivo  (vestíbulo),SANTIAGO,A CORUÑA,42.8805,-8.5433,En centros docentes
1260,USC (Campus Santiago),Arquivo Casa Simeon (Vestibulo da conserxeria),SANTIAGO,A CORUÑA,42.8821,-8.5420,En centros docentes
1261,USC (Campus Santiago),CIEDUS Vista Alegre (Vestibulo de entrada),SANTIAGO,A CORUÑA,42.8866,-8.5466,En centros docentes
1262,USC (Campus Santiago),F CC da Educación (Vida)  (Decanato),SANTIAGO,A CORUÑA,42.8763,-8.5536,En centros docentes
1263,USC (Campus Santiago),CIMUS (Vestibulo da Conserxería),SANTIAGO,A CORUÑA,42.8711,-8.5619,En centros docentes
1264,USC (Campus Santiago),CITIUS (Pasillo vestibulo do CITIUS),SANTIAGO,A CORUÑA,42.8733,-8.5575,En centros docentes
1265,USC (Campus Santiago),Colexio Maior Fonseca (Conserxería),SANTIAGO,A CORUÑA,42.8772,-8.5550,En centros docentes
1266,USC (Campus Santiago),Edificio EMPRENDIA (Entrada),SANTIAGO,A CORUÑA,42.8722,-8.5630,En centros docentes
1267,USC (Campus Santiago),Escola Infantil Breogán (Pasillo entrada),SANTIAGO,A CORUÑA,42.8755,-8.5538,En centros docentes
1268,USC (Campus Santiago),Estadio de Atletismo (Taquilla entrada),SANTIAGO,A CORUÑA,42.8769,-8.5563,En centros docentes
1269,USC (Campus Santiago),CAMPUS DE LUGO: Facultade de Veterinaria (Vestibulo da conserxería),LUGO,LUGO,42.9949,-7.5463,En centros docentes
1270,USC (Campus Santiago),Museo Historia Natural (Recepción),SANTIAGO,A CORUÑA,42.8763,-8.5536,En centros docentes
1271,USC (Campus Santiago),Pavillón de Servizos (Entrada laboratorios),SANTIAGO,A CORUÑA,42.8752,-8.5580,En centros docentes
1272,USC (Campus Santiago),Pazo de Fonseca (Sala de lectura),SANTIAGO,A CORUÑA,42.8783,-8.5430,En centros docentes
1273,USC (Campus Santiago),Pazo de San Xerome (Conserxería),SANTIAGO,A CORUÑA,42.8799,-8.5455,En centros docentes
1274,USC (Campus Santiago),Residencia Universitaria Burgo das Nacións (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8902,-8.5444,En centros docentes
1275,USC (Campus Santiago),Residencia Universitaria Monte de Condesa (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8772,-8.5586,En centros docentes
1276,USC (Campus Santiago),"Casa dos Catedraticos (Servizo de Vixilancia da Saude, 3º planta)",SANTIAGO,A CORUÑA,42.8764,-8.5538,En centros docentes
1277,USC (Campus Santiago),Escola Técnica Superior Enxeñaría (Vestibulo de conserjería en la planta -1),SANTIAGO,A CORUÑA,42.8733,-8.5602,En centros docentes
1278,USC (Campus Santiago),Facultade de Bioloxía  (vestíbulo de Conserjería),SANTIAGO,A CORUÑA,42.8741,-8.5580,En centros docentes
1279,USC (Campus Santiago),Facultade de Ciencias da Comunicación (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8916,-8.5430,En centros docentes
1280,USC (Campus Santiago),Facultade de Odontoloxía (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8916,-8.5430,En centros docentes
1281,USC (Campus Santiago),Facultade de Ciencias Económicas e Empresariais (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8877,-8.5441,En centros docentes
1282,USC (Campus Santiago),Facultade de Dereito (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8744,-8.5538,En centros docentes
1283,USC (Campus Santiago),Facultade de Enfermaría (Vestibulo da conserxería de enfermeria -planta 1-),SANTIAGO,A CORUÑA,42.8852,-8.5433,En centros docentes
1284,USC (Campus Santiago),Facultade de Farmacia (vestíbulo de Conserjería),SANTIAGO,A CORUÑA,42.8749,-8.5547,En centros docentes
1285,USC (Campus Santiago),Facultade de Filoloxía (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8913,-8.5449,En centros docentes
1286,USC (Campus Santiago),Facultade de Física (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8758,-8.5605,En centros docentes
1287,USC (Campus Santiago),Facultade de Matemáticas (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8738,-8.5575,En centros docentes
1288,USC (Campus Santiago),Facultade de Medicina (Enfrente de la sala bedeles),SANTIAGO,A CORUÑA,42.8825,-8.5455,En centros docentes
1289,USC (Campus Santiago),Facultade de Óptica e Optometría (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8772,-8.5591,En centros docentes
1290,USC (Campus Santiago),Facultade de Psicoloxía (Pasillo de decanato),SANTIAGO,A CORUÑA,42.8749,-8.5616,En centros docentes
1291,USC (Campus Santiago),Facultade de Química (Vestibulo da conserxería da F. Quimica),SANTIAGO,A CORUÑA,42.8763,-8.5513,En centros docentes
1292,USC (Campus Santiago),Facultade de Relacións Laborais (Vestibulo da conserxería),SANTIAGO,A CORUÑA,42.8738,-8.5544,En centros docentes
1293,USC (Campus Santiago),Facultade de Xeografía e Historia (Decanato de Historia),SANTIAGO,A CORUÑA,42.8786,-8.5422,En centros docentes
1295,USC (Campus Lugo),Facultade de Administración e Dirección de Empresas (Vestibulo da conserxería),LUGO,LUGO,42.9916,-7.5491,En centros docentes
1296,USC (Campus Lugo),Facultade de Ciencias (Conserxería),LUGO,LUGO,42.9916,-7.5491,En centros docentes
1297,USC (Campus Lugo),Facultade de Formación do Profesorado (Vestibulo da conserxería),LUGO,LUGO,43.0052,-7.5555,En centros docentes
1298,USC (Campus Lugo),Facultade de Humanidades (Vestibulo da conserxería),LUGO,LUGO,42.9924,-7.5430,En centros docentes
1299,USC (Campus Lugo),Escola PoliTécnica Superior (Vestibulo da conserxería),LUGO,LUGO,42.9944,-7.5447,En centros docentes
1300,USC (Campus Lugo),Edificio Intercentros (Servizo Vixilancia Saude),LUGO,LUGO,42.9941,-7.5472,Otros
1301,USC (Campus Lugo),Biblioteca Intercentros* + Vicexerencia – UXA + CACTUS (Vestibulo da conserxería),LUGO,LUGO,42.9924,-7.5458,En centros docentes
1303,Concello de Agolada,Campo de fútbol,AGOLADA,PONTEVEDRA,42.7613,-8.0237,En instalaciones deportivas
1305,IES Ricardo Mella,IES Ricardo Mella (secretaría),VIGO,PONTEVEDRA,42.2176,-8.6796,En centros docentes
1306,Concello de Illa de Arousa,Pavillón de Deportes do CEIP Torre-Illa,"ILLA DE AROUSA, A",PONTEVEDRA,42.5441,-8.8675,En playa
1307,Concello de Illa de Arousa,Campo de Fútbol da Bouza,"ILLA DE AROUSA, A",PONTEVEDRA,42.5652,-8.8861,En instalaciones deportivas
1308,Cruz Roja Española Ourense,Cruz Roja,OURENSE,OURENSE,42.3469,-7.8620,Cruz roja (no amb.)
1310,Hispaplasti,Hispaplasti,PEREIRO DE AGUIAR,OURENSE,42.3199,-7.8077,En empresa privada
1311,Manzaneda Estación de Invierno,Manzaneda Estación de Invierno,POBRA DE TRIVES,OURENSE,42.2746,-7.2937,En instalaciones deportivas
1312,IES Xograr Afonso,IES Xograr Afonso Gómez (Secretaría),SARRIA,LUGO,42.7749,-7.4079,En centros docentes
1313,Telemark (112 Galicia San Marcos),112 Galicia San Marcos,SANTIAGO,A CORUÑA,42.8913,-8.4701,Otros
1314,Ikea A Coruña,Ikea A Coruña,"CORUÑA, A",A CORUÑA,43.3449,-8.4302,En empresa privada
1316,Alcampo Vigo,Alcampo Vigo I (Coia),VIGO,PONTEVEDRA,42.2193,-8.7452,En empresa privada
1317,Alcampo Vigo,Alcampo Vigo II (Avda. Madrid),VIGO,PONTEVEDRA,42.2279,-8.7186,En empresa privada
1319,Alcampo Ferrol,Alcampo Ferrol,FERROL,A CORUÑA,43.4915,-8.2076,En empresa privada
1320,Alcampo A Coruña,Alcampo A Coruña,"CORUÑA, A",A CORUÑA,43.3288,-8.3907,En empresa privada
1322,Concello de Redondela,Pabellón Deportes Chapela,REDONDELA,PONTEVEDRA,42.2666,-8.6666,En instalaciones deportivas
1323,Concello de Redondela,"Campo de Fútbol ""Choco""",REDONDELA,PONTEVEDRA,42.2912,-8.6096,En instalaciones deportivas
1324,IES Gregorio Fernández,IES Gregorio Fernández (Conserxería),SARRIA,LUGO,42.7721,-7.4076,En centros docentes
1330,Universidad de Vigo,Pabellón Deportes Campus Ourense,OURENSE,OURENSE,42.3430,-7.8517,En instalaciones deportivas
1333,Universidad de Vigo,Facultad de C. Educ. y Deporte,PONTEVEDRA,PONTEVEDRA,42.4413,-8.6372,En centros docentes
1339,Concello de Soutomaior,Pabellón A Montesiña,SOUTOMAIOR,PONTEVEDRA,42.3377,-8.5866,En instalaciones deportivas
1340,Concello de Soutomaior,Campo de Fútbol de Salgueirón,SOUTOMAIOR,PONTEVEDRA,42.3422,-8.5919,En instalaciones deportivas
1344,SERVIPLUS TOTAL SLU (Complejo Piscinas Cerceda),Aquapark Cerceda,CERCEDA,A CORUÑA,43.1769,-8.4700,En empresa privada
1345,IFEC,Hispamoldes,SAN CIBRAO DAS VIÑAS,OURENSE,42.2979,-7.8027,Otros
1346,Fundación Deporte Galego,Complejo Acuático Monterrei - Pereiro de Aguiar,PEREIRO DE AGUIAR,OURENSE,42.3194,-7.8031,Otros
1347,Estación de Servicio CASTADÓN,Estación de Servicio CASTADÓN,PEREIRO DE AGUIAR,OURENSE,42.3450,-7.8126,En empresa privada
1348,"MGI Coutier España, S.L.",MGI Coutier España,VIGO,PONTEVEDRA,42.2049,-8.7561,En empresa privada
1350,"EURO-CKP, S.A.","EURO-CKP, S.A.",TUI,PONTEVEDRA,42.0940,-8.6345,En empresa privada
1351,Piscina Mancomunada de Val Miñor,Gimnasio de la Piscina Mancomunada de Val Miñor (en la planta 0),NIGRAN,PONTEVEDRA,42.1188,-8.8116,En piscina pública
1354,Real Club Náutico de A Coruña,Oficinas del Real Club en C/Celedonio de Uribe nº1,"CORUÑA, A",A CORUÑA,43.3684,-8.3974,Otros
